------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.2 port 56701
[  2] local 10.0.0.1 port 8 connected with 10.0.0.4 port 52384
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 20.0000-21.0000 sec   610 KBytes  5.00 Mbits/sec   0.272 ms 0/425 (0%)
[  4] 20.0000-21.0000 sec   612 KBytes  5.01 Mbits/sec   0.011 ms 0/426 (0%)
[  2] 22.0000-23.0000 sec   732 KBytes  6.00 Mbits/sec   0.333 ms 0/510 (0%)
[  1] 22.0000-23.0000 sec   854 KBytes  7.00 Mbits/sec   0.195 ms 0/595 (0%)
[  3] 21.0000-22.0000 sec   610 KBytes  5.00 Mbits/sec   0.339 ms 0/425 (0%)
[  4] 21.0000-22.0000 sec   610 KBytes  5.00 Mbits/sec   0.056 ms 0/425 (0%)
[  2] 23.0000-24.0000 sec   734 KBytes  6.01 Mbits/sec   0.258 ms 0/511 (0%)
[  1] 23.0000-24.0000 sec   856 KBytes  7.01 Mbits/sec   0.221 ms 0/596 (0%)
[  3] 22.0000-23.0000 sec   612 KBytes  5.01 Mbits/sec   0.339 ms 0/426 (0%)
[  4] 22.0000-23.0000 sec   610 KBytes  5.00 Mbits/sec   0.019 ms 0/425 (0%)
[  1] 24.0000-25.0000 sec   854 KBytes  7.00 Mbits/sec   0.273 ms 0/595 (0%)
[  2] 24.0000-25.0000 sec   732 KBytes  6.00 Mbits/sec   0.230 ms 0/510 (0%)
[  3] 23.0000-24.0000 sec   610 KBytes  5.00 Mbits/sec   0.399 ms 0/425 (0%)
[  4] 23.0000-24.0000 sec   610 KBytes  5.00 Mbits/sec   0.035 ms 0/425 (0%)
[  2] 25.0000-26.0000 sec   732 KBytes  6.00 Mbits/sec   0.311 ms 0/510 (0%)
[  1] 25.0000-26.0000 sec   854 KBytes  7.00 Mbits/sec   0.329 ms 0/595 (0%)
[  3] 24.0000-25.0000 sec   610 KBytes  5.00 Mbits/sec   0.299 ms 0/425 (0%)
[  4] 24.0000-25.0000 sec   610 KBytes  5.00 Mbits/sec   0.025 ms 0/425 (0%)
[  2] 26.0000-27.0000 sec   732 KBytes  6.00 Mbits/sec   0.293 ms 0/510 (0%)
[  1] 26.0000-27.0000 sec   854 KBytes  7.00 Mbits/sec   0.282 ms 0/595 (0%)
[  3] 25.0000-26.0000 sec   610 KBytes  5.00 Mbits/sec   0.299 ms 0/425 (0%)
[  4] 25.0000-26.0000 sec   610 KBytes  5.00 Mbits/sec   0.045 ms 0/425 (0%)
[  2] 27.0000-28.0000 sec   734 KBytes  6.01 Mbits/sec   0.226 ms 0/511 (0%)
[  1] 27.0000-28.0000 sec   856 KBytes  7.01 Mbits/sec   0.257 ms 0/596 (0%)
[  3] 26.0000-27.0000 sec   610 KBytes  5.00 Mbits/sec   0.417 ms 0/425 (0%)
[  4] 26.0000-27.0000 sec   612 KBytes  5.01 Mbits/sec   0.035 ms 0/426 (0%)
[  1] 28.0000-29.0000 sec   854 KBytes  7.00 Mbits/sec   0.217 ms 0/595 (0%)
[  2] 28.0000-29.0000 sec   732 KBytes  6.00 Mbits/sec   0.249 ms 0/510 (0%)
[  3] 27.0000-28.0000 sec   612 KBytes  5.01 Mbits/sec   0.338 ms 0/426 (0%)
[  4] 27.0000-28.0000 sec   610 KBytes  5.00 Mbits/sec   0.014 ms 0/425 (0%)
[  2] 29.0000-30.0000 sec   731 KBytes  5.99 Mbits/sec   0.218 ms 0/509 (0%)
[  1] 29.0000-30.0000 sec   854 KBytes  7.00 Mbits/sec   0.254 ms 0/595 (0%)
[  3] 28.0000-29.0000 sec   610 KBytes  5.00 Mbits/sec   0.328 ms 0/425 (0%)
[  4] 28.0000-29.0000 sec   610 KBytes  5.00 Mbits/sec   0.069 ms 0/425 (0%)
[  2] 30.0000-31.0000 sec   734 KBytes  6.01 Mbits/sec   0.226 ms 0/511 (0%)
[  1] 30.0000-31.0000 sec   854 KBytes  7.00 Mbits/sec   0.237 ms 0/595 (0%)
[  3] 29.0000-30.0000 sec   610 KBytes  5.00 Mbits/sec   0.360 ms 0/425 (0%)
[  4] 29.0000-30.0000 sec   610 KBytes  5.00 Mbits/sec   0.034 ms 0/425 (0%)
[  2] 31.0000-32.0000 sec   732 KBytes  6.00 Mbits/sec   0.269 ms 0/510 (0%)
[  1] 31.0000-32.0000 sec   856 KBytes  7.01 Mbits/sec   0.221 ms 0/596 (0%)
[  3] 30.0000-31.0000 sec   610 KBytes  5.00 Mbits/sec   0.322 ms 0/425 (0%)
[  4] 30.0000-31.0000 sec   610 KBytes  5.00 Mbits/sec   0.011 ms 0/425 (0%)
[  2] 32.0000-33.0000 sec   734 KBytes  6.01 Mbits/sec   0.255 ms 0/511 (0%)
[  1] 32.0000-33.0000 sec   854 KBytes  7.00 Mbits/sec   0.206 ms 0/595 (0%)
[  3] 31.0000-32.0000 sec   610 KBytes  5.00 Mbits/sec   0.345 ms 0/425 (0%)
[  4] 31.0000-32.0000 sec   610 KBytes  5.00 Mbits/sec   0.069 ms 0/425 (0%)
[  1] 33.0000-34.0000 sec   854 KBytes  7.00 Mbits/sec   0.193 ms 0/595 (0%)
[  2] 33.0000-34.0000 sec   732 KBytes  6.00 Mbits/sec   0.216 ms 0/510 (0%)
[  3] 32.0000-33.0000 sec   610 KBytes  5.00 Mbits/sec   0.407 ms 0/425 (0%)
[  4] 32.0000-33.0000 sec   612 KBytes  5.01 Mbits/sec   0.033 ms 0/426 (0%)
[  2] 34.0000-35.0000 sec   732 KBytes  6.00 Mbits/sec   0.302 ms 0/510 (0%)
[  1] 34.0000-35.0000 sec   854 KBytes  7.00 Mbits/sec   0.347 ms 0/595 (0%)
[  3] 33.0000-34.0000 sec   610 KBytes  5.00 Mbits/sec   0.339 ms 0/425 (0%)
[  4] 33.0000-34.0000 sec   610 KBytes  5.00 Mbits/sec   0.072 ms 0/425 (0%)
[  2] 35.0000-36.0000 sec   732 KBytes  6.00 Mbits/sec   0.314 ms 0/510 (0%)
[  1] 35.0000-36.0000 sec   854 KBytes  7.00 Mbits/sec   0.298 ms 0/595 (0%)
[  3] 34.0000-35.0000 sec   612 KBytes  5.01 Mbits/sec   0.338 ms 0/426 (0%)
[  4] 34.0000-35.0000 sec   610 KBytes  5.00 Mbits/sec   0.022 ms 0/425 (0%)
[  2] 36.0000-37.0000 sec   732 KBytes  6.00 Mbits/sec   0.199 ms 0/510 (0%)
[  3] 35.0000-36.0000 sec   610 KBytes  5.00 Mbits/sec   0.223 ms 0/425 (0%)
[  4] 35.0000-36.0000 sec   610 KBytes  5.00 Mbits/sec   0.038 ms 0/425 (0%)
[  1] 36.0000-37.0000 sec   495 KBytes  4.06 Mbits/sec   0.308 ms 0/345 (0%)
[  2] 37.0000-38.0000 sec   734 KBytes  6.01 Mbits/sec   0.100 ms 0/511 (0%)
[  3] 36.0000-37.0000 sec   610 KBytes  5.00 Mbits/sec   0.186 ms 0/425 (0%)
[  4] 36.0000-37.0000 sec   610 KBytes  5.00 Mbits/sec   0.019 ms 0/425 (0%)
[  1] 37.0000-38.0000 sec  0.000 Bytes  0.000 bits/sec   0.308 ms 0/0 (-nan%)
[  2] 38.0000-39.0000 sec   732 KBytes  6.00 Mbits/sec   0.180 ms 0/510 (0%)
[  3] 37.0000-38.0000 sec   610 KBytes  5.00 Mbits/sec   0.155 ms 0/425 (0%)
[  4] 37.0000-38.0000 sec   610 KBytes  5.00 Mbits/sec   0.004 ms 0/425 (0%)
[  1] 38.0000-39.0000 sec  0.000 Bytes  0.000 bits/sec   0.308 ms 0/0 (-nan%)
[  2] 39.0000-40.0000 sec   732 KBytes  6.00 Mbits/sec   0.109 ms 0/510 (0%)
[  3] 38.0000-39.0000 sec   610 KBytes  5.00 Mbits/sec   0.163 ms 0/425 (0%)
[  4] 38.0000-39.0000 sec   612 KBytes  5.01 Mbits/sec   0.028 ms 0/426 (0%)
[  1] 39.0000-40.0000 sec  0.000 Bytes  0.000 bits/sec   0.308 ms 0/0 (-nan%)
[  2] 40.0000-41.0000 sec   732 KBytes  6.00 Mbits/sec   0.142 ms 0/510 (0%)
[  1] 40.0000-41.0000 sec  76.1 KBytes   623 Kbits/sec   5.138 ms 2391/2444 (98%)
[  3] 39.0000-40.0000 sec   610 KBytes  5.00 Mbits/sec   0.149 ms 0/425 (0%)
[  4] 39.0000-40.0000 sec   402 KBytes  3.29 Mbits/sec  13.574 ms 0/280 (0%)
[  2] 41.0000-42.0000 sec   732 KBytes  6.00 Mbits/sec   0.116 ms 0/510 (0%)
[  1] 41.0000-42.0000 sec   791 KBytes  6.48 Mbits/sec   2.249 ms 0/551 (0%)
[  3] 40.0000-41.0000 sec   610 KBytes  5.00 Mbits/sec   0.141 ms 0/425 (0%)
[  4] 40.0000-41.0000 sec   772 KBytes  6.33 Mbits/sec   3.166 ms 0/538 (0%)
[  2] 42.0000-43.0000 sec   734 KBytes  6.01 Mbits/sec   0.162 ms 0/511 (0%)
