------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.4 port 35580
[  2] local 10.0.0.1 port 8 connected with 10.0.0.2 port 45788
[  3] local 10.0.0.1 port 8 connected with 10.0.0.5 port 34693
[  4] local 10.0.0.1 port 8 connected with 10.0.0.3 port 34034
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  4] 32.0000-33.0000 sec   612 KBytes  5.01 Mbits/sec   0.199 ms 0/426 (0%)
[  1] 33.0000-34.0000 sec   732 KBytes  6.00 Mbits/sec   0.171 ms 0/510 (0%)
[  4] 33.0000-34.0000 sec   610 KBytes  5.00 Mbits/sec   0.142 ms 0/425 (0%)
[  2] 33.0000-34.0000 sec   856 KBytes  7.01 Mbits/sec   0.075 ms 0/596 (0%)
[  3] 33.0000-34.0000 sec   610 KBytes  5.00 Mbits/sec   0.285 ms 0/425 (0%)
[  4] 34.0000-35.0000 sec   610 KBytes  5.00 Mbits/sec   0.179 ms 0/425 (0%)
[  1] 34.0000-35.0000 sec   732 KBytes  6.00 Mbits/sec   0.109 ms 0/510 (0%)
[  2] 34.0000-35.0000 sec   854 KBytes  7.00 Mbits/sec   0.052 ms 0/595 (0%)
[  3] 34.0000-35.0000 sec   610 KBytes  5.00 Mbits/sec   0.288 ms 0/425 (0%)
[  4] 35.0000-36.0000 sec   610 KBytes  5.00 Mbits/sec   0.177 ms 0/425 (0%)
[  1] 35.0000-36.0000 sec   732 KBytes  6.00 Mbits/sec   0.166 ms 0/510 (0%)
[  2] 35.0000-36.0000 sec   854 KBytes  7.00 Mbits/sec   0.091 ms 0/595 (0%)
[  3] 35.0000-36.0000 sec   612 KBytes  5.01 Mbits/sec   0.337 ms 0/426 (0%)
[  4] 36.0000-37.0000 sec   610 KBytes  5.00 Mbits/sec   0.219 ms 0/425 (0%)
[  1] 36.0000-37.0000 sec   732 KBytes  6.00 Mbits/sec   0.194 ms 0/510 (0%)
[  2] 36.0000-37.0000 sec   854 KBytes  7.00 Mbits/sec   0.158 ms 0/595 (0%)
[  3] 36.0000-37.0000 sec   610 KBytes  5.00 Mbits/sec   0.336 ms 0/425 (0%)
[  1] 37.0000-38.0000 sec   734 KBytes  6.01 Mbits/sec   0.144 ms 0/511 (0%)
[  2] 37.0000-38.0000 sec   856 KBytes  7.01 Mbits/sec   0.106 ms 0/596 (0%)
[  3] 37.0000-38.0000 sec   610 KBytes  5.00 Mbits/sec   0.372 ms 0/425 (0%)
[  4] 37.0000-38.0000 sec   610 KBytes  5.00 Mbits/sec   0.169 ms 0/425 (0%)
[  4] 38.0000-39.0000 sec   612 KBytes  5.01 Mbits/sec   0.188 ms 0/426 (0%)
[  1] 38.0000-39.0000 sec   731 KBytes  5.99 Mbits/sec   0.119 ms 0/509 (0%)
[  2] 38.0000-39.0000 sec   854 KBytes  7.00 Mbits/sec   0.059 ms 0/595 (0%)
[  3] 38.0000-39.0000 sec   610 KBytes  5.00 Mbits/sec   0.320 ms 0/425 (0%)
[  4] 39.0000-40.0000 sec   610 KBytes  5.00 Mbits/sec   0.152 ms 0/425 (0%)
[  1] 39.0000-40.0000 sec   734 KBytes  6.01 Mbits/sec   0.094 ms 0/511 (0%)
[  2] 39.0000-40.0000 sec   854 KBytes  7.00 Mbits/sec   0.120 ms 0/595 (0%)
[  3] 39.0000-40.0000 sec   610 KBytes  5.00 Mbits/sec   0.383 ms 0/425 (0%)
[  4] 40.0000-41.0000 sec   610 KBytes  5.00 Mbits/sec   0.176 ms 0/425 (0%)
[  1] 40.0000-41.0000 sec   732 KBytes  6.00 Mbits/sec   0.219 ms 0/510 (0%)
[  2] 40.0000-41.0000 sec   854 KBytes  7.00 Mbits/sec   0.080 ms 0/595 (0%)
[  3] 40.0000-41.0000 sec   610 KBytes  5.00 Mbits/sec   0.316 ms 0/425 (0%)
[  1] 41.0000-42.0000 sec   732 KBytes  6.00 Mbits/sec   0.205 ms 0/510 (0%)
[  2] 41.0000-42.0000 sec   856 KBytes  7.01 Mbits/sec   0.105 ms 0/596 (0%)
[  3] 41.0000-42.0000 sec   612 KBytes  5.01 Mbits/sec   0.261 ms 0/426 (0%)
[  4] 41.0000-42.0000 sec   610 KBytes  5.00 Mbits/sec   0.116 ms 0/425 (0%)
[  4] 42.0000-43.0000 sec   610 KBytes  5.00 Mbits/sec   0.148 ms 0/425 (0%)
[  1] 42.0000-43.0000 sec   734 KBytes  6.01 Mbits/sec   0.122 ms 0/511 (0%)
[  2] 42.0000-43.0000 sec   854 KBytes  7.00 Mbits/sec   0.074 ms 0/595 (0%)
[  3] 42.0000-43.0000 sec   610 KBytes  5.00 Mbits/sec   0.289 ms 0/425 (0%)
[  4] 43.0000-44.0000 sec   612 KBytes  5.01 Mbits/sec   0.122 ms 0/426 (0%)
[  1] 43.0000-44.0000 sec   732 KBytes  6.00 Mbits/sec   0.184 ms 0/510 (0%)
