exec sudo mnexec -a 24189 iperf -s -u -p 8 -i 1
------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.4 port 60989
[  2] local 10.0.0.1 port 8 connected with 10.0.0.5 port 48225
[  3] local 10.0.0.1 port 8 connected with 10.0.0.2 port 43957
[  4] local 10.0.0.1 port 8 connected with 10.0.0.3 port 60239
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  2] 18.0000-19.0000 sec   610 KBytes  5.00 Mbits/sec   0.036 ms 0/425 (0%)
[  1] 19.0000-20.0000 sec   732 KBytes  6.00 Mbits/sec   0.300 ms 0/510 (0%)
[  3] 19.0000-20.0000 sec   854 KBytes  7.00 Mbits/sec   0.247 ms 0/595 (0%)
[  4] 19.0000-20.0000 sec   610 KBytes  5.00 Mbits/sec   0.391 ms 0/425 (0%)
[  2] 19.0000-20.0000 sec   610 KBytes  5.00 Mbits/sec   0.005 ms 0/425 (0%)
[  1] 20.0000-21.0000 sec   734 KBytes  6.01 Mbits/sec   0.284 ms 0/511 (0%)
[  3] 20.0000-21.0000 sec   854 KBytes  7.00 Mbits/sec   0.210 ms 0/595 (0%)
[  4] 20.0000-21.0000 sec   610 KBytes  5.00 Mbits/sec   0.403 ms 0/425 (0%)
[  2] 20.0000-21.0000 sec   610 KBytes  5.00 Mbits/sec   0.004 ms 0/425 (0%)
[  1] 21.0000-22.0000 sec   732 KBytes  6.00 Mbits/sec   0.367 ms 0/510 (0%)
[  3] 21.0000-22.0000 sec   854 KBytes  7.00 Mbits/sec   0.210 ms 0/595 (0%)
[  2] 21.0000-22.0000 sec   610 KBytes  5.00 Mbits/sec   0.014 ms 0/425 (0%)
[  4] 21.0000-22.0000 sec   610 KBytes  5.00 Mbits/sec   0.381 ms 0/425 (0%)
[  1] 22.0000-23.0000 sec   732 KBytes  6.00 Mbits/sec   0.401 ms 0/510 (0%)
[  3] 22.0000-23.0000 sec   856 KBytes  7.01 Mbits/sec   0.226 ms 0/596 (0%)
[  4] 22.0000-23.0000 sec   612 KBytes  5.01 Mbits/sec   0.374 ms 0/426 (0%)
[  2] 22.0000-23.0000 sec   612 KBytes  5.01 Mbits/sec   0.028 ms 0/426 (0%)
[  1] 23.0000-24.0000 sec   732 KBytes  6.00 Mbits/sec   0.288 ms 0/510 (0%)
[  3] 23.0000-24.0000 sec   854 KBytes  7.00 Mbits/sec   0.186 ms 0/595 (0%)
[  4] 23.0000-24.0000 sec   610 KBytes  5.00 Mbits/sec   0.322 ms 0/425 (0%)
[  2] 23.0000-24.0000 sec   610 KBytes  5.00 Mbits/sec   0.007 ms 0/425 (0%)
[  1] 24.0000-25.0000 sec   732 KBytes  6.00 Mbits/sec   0.344 ms 0/510 (0%)
[  3] 24.0000-25.0000 sec   854 KBytes  7.00 Mbits/sec   0.352 ms 0/595 (0%)
[  2] 24.0000-25.0000 sec   610 KBytes  5.00 Mbits/sec   0.053 ms 0/425 (0%)
[  4] 24.0000-25.0000 sec   610 KBytes  5.00 Mbits/sec   0.386 ms 0/425 (0%)
[  1] 25.0000-26.0000 sec   734 KBytes  6.01 Mbits/sec   0.366 ms 0/511 (0%)
[  3] 25.0000-26.0000 sec   854 KBytes  7.00 Mbits/sec   0.247 ms 0/595 (0%)
[  2] 25.0000-26.0000 sec   610 KBytes  5.00 Mbits/sec   0.060 ms 0/425 (0%)
[  4] 25.0000-26.0000 sec   610 KBytes  5.00 Mbits/sec   0.370 ms 0/425 (0%)
[  1] 26.0000-27.0000 sec   732 KBytes  6.00 Mbits/sec   0.379 ms 0/510 (0%)
[  2] 26.0000-27.0000 sec   610 KBytes  5.00 Mbits/sec   0.027 ms 0/425 (0%)
[  3] 26.0000-27.0000 sec   856 KBytes  7.01 Mbits/sec   0.226 ms 0/596 (0%)
[  4] 26.0000-27.0000 sec   610 KBytes  5.00 Mbits/sec   0.348 ms 0/425 (0%)
